ptPT, enGB, enUS, esES, deDE
banana, dog, dog, perro, hund
morango, dog, dog, perro, hund
plastico, dog, dog, perro, hund
cadeira, dog, dog, perro, hund
roda, dog, dog, perro, hund
gato, dog, dog, perro, hund
zebra, dog, dog, perro, hund
chinelo, dog, dog, perro, hund
copo, dog, dog, perro, hund
telefone, dog, dog, perro, hund
rolo, dog, dog, perro, hund
coluna, dog, dog, perro, hund
armario, dog, dog, perro, hundghk
toalha, dog, dog, perro, hund
meia, dog, dog, perro, hund
capa, dog, dog, perro, hund
